folio,S2_2,S2_3,S2_5,S2_6,S2_7,S3_1,S3_2,S3_3,S3_8,S1_9
49186,1,3,3,3,3,1,1,1,4,1
49207,2,2,2,3,3,3,1,1,1,1
49227,2,3,3,3,3,3,1,1,3,1
49234,1,4,3,3,3,3,3,1,3,1
49241,1,3,3,3,3,3,1,1,1,1
49250,1,3,3,3,3,3,3,1,1,1
49264,1,2,3,3,1,3,1,1,4,1
49285,2,3,3,2,3,1,2,1,2,1
49286,1,4,3,1,3,3,3,2,1,1
49287,1,3,3,3,3,3,1,1,4,1
49316,2,3,2,1,1,3,1,3,1,1
49320,1,2,2,2,1,1,1,1,1,1
49333,1,3,3,1,1,3,1,1,1,1
49341,1,3,3,3,2,3,1,4,3,1
49346,1,3,3,2,3,1,1,1,4,1
49356,1,3,3,2,2,1,1,1,1,1
49369,1,1,2,3,1,3,3,1,2,2
49378,1,4,1,2,1,3,1,1,1,1
49387,1,1,2,3,3,3,1,1,1,1
49400,1,1,2,3,3,1,3,1,1,1
49418,1,3,3,2,3,1,3,1,4,1
49426,1,3,2,3,1,3,1,2,1,1
49450,1,2,2,2,2,3,1,2,1,1
49465,1,2,3,3,1,3,2,1,1,1
49468,1,3,3,3,2,3,1,1,1,1
49494,1,2,2,3,3,3,3,1,2,2
49502,1,1,2,3,1,3,3,1,2,2
49507,1,1,2,1,1,2,3,1,2,2
49516,1,2,2,3,1,3,3,1,2,1
49530,1,2,2,1,1,3,1,1,2,2
49540,1,3,3,3,3,3,1,1,4,1
49554,1,3,3,3,2,3,1,1,4,1
49574,1,2,3,2,3,3,3,1,4,1
49582,1,2,2,3,1,3,2,1,2,1
49594,1,3,3,3,3,1,1,1,4,1
49600,1,3,3,3,3,3,1,1,3,1
49599,1,3,2,3,3,1,1,1,1,1
49614,1,3,3,2,2,3,3,1,1,1
49632,2,3,3,3,3,3,2,1,1,1
49668,1,3,3,2,1,1,1,1,1,1
49689,1,3,3,3,1,1,3,1,3,1
49705,1,3,3,2,2,1,2,1,1,1
49773,2,3,3,2,2,1,2,1,1,1
49935,1,3,3,1,1,3,1,1,2,1
50008,1,3,3,3,2,3,3,1,3,1
50023,2,3,3,3,3,1,1,2,1,1
50039,1,3,3,3,3,3,2,1,2,1
50083,1,3,3,3,3,2,1,1,2,1
50106,1,2,3,3,3,3,3,1,1,1
50123,1,3,3,3,3,3,3,2,2,2
50140,1,2,1,3,3,3,1,1,4,1
50152,1,3,3,2,3,3,1,1,4,2
50153,1,3,3,3,3,3,1,1,4,1
50173,2,2,3,3,1,3,1,1,1,1
50178,1,3,3,3,2,1,1,2,4,1
50246,1,1,3,3,1,3,1,1,1,1
50262,2,1,2,1,1,1,3,4,1,2
50284,1,2,2,3,1,1,3,4,1,2
50298,1,2,3,3,1,2,3,1,3,1
50389,1,3,3,2,2,3,1,1,4,1
50395,1,2,3,3,3,1,1,1,2,1
50396,1,1,2,2,3,3,1,1,1,1
50477,2,3,2,2,2,3,3,1,4,1
50476,1,3,3,3,2,3,3,1,1,2
50487,1,2,3,3,3,1,1,1,1,1
50497,2,2,2,2,1,3,1,2,1,2
50513,1,2,3,3,3,3,1,1,2,1
50517,1,1,2,3,3,1,3,1,1,1
50518,1,1,3,1,1,3,3,1,1,1
50549,1,2,3,3,2,3,1,2,1,1
50762,1,2,3,3,1,3,1,2,3,1
50806,2,1,2,2,2,3,1,1,3,1
50813,1,4,1,2,3,3,2,1,1,1
50814,2,3,3,3,3,3,1,1,1,1
50887,1,2,3,3,1,1,2,1,1,1
50889,1,2,3,1,1,3,3,2,3,1
50913,1,1,3,1,1,3,1,1,4,1
50918,2,3,3,2,2,3,1,1,4,1
50931,1,3,3,3,3,3,1,1,1,1
50934,1,3,3,1,3,1,3,1,4,1
50939,1,4,3,3,3,1,3,1,1,1
51016,1,2,3,2,2,3,1,1,4,1
51034,1,3,3,2,2,3,1,1,3,1
51039,1,2,3,3,3,3,1,1,4,1
51059,1,1,3,2,2,1,1,1,4,1
51066,1,2,3,3,3,3,3,1,2,1
51067,1,3,3,3,3,3,3,1,1,1
51129,1,2,2,2,2,3,1,2,1,1
51147,1,2,3,3,3,3,1,2,1,1
51150,1,3,3,3,3,3,2,1,2,1
